2018-08-29 03:58:36->由于目标计算机积极拒绝，无法连接。 172.18.114.203:9002
2018-08-29 03:58:36 055	连接设备失败!
2018-08-29 03:59:00 780	断开连接设备失败!
2018-08-29 03:59:01 172	连接设备成功!
2018-08-29 03:59:04 186	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:04 191	心跳应答：55 AA 00 06 00 E0 00 48 52 86 5B 00 21 
2018-08-29 03:59:04 578	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:04 578	心跳应答：55 AA 01 06 00 E0 00 48 52 86 5B 00 20 
2018-08-29 03:59:09 378	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:09 378	心跳应答：55 AA 02 06 00 E0 00 4D 52 86 5B 00 26 
2018-08-29 03:59:14 578	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:14 578	心跳应答：55 AA 03 06 00 E0 00 52 52 86 5B 00 38 
2018-08-29 03:59:19 377	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:19 378	心跳应答：55 AA 04 06 00 E0 00 57 52 86 5B 00 3A 
2018-08-29 03:59:24 577	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:24 577	心跳应答：55 AA 05 06 00 E0 00 5C 52 86 5B 00 30 
2018-08-29 03:59:29 378	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:29 378	心跳应答：55 AA 06 06 00 E0 00 61 52 86 5B 00 0E 
2018-08-29 03:59:34 578	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:34 578	心跳应答：55 AA 07 06 00 E0 00 66 52 86 5B 00 08 
2018-08-29 03:59:39 378	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:39 379	心跳应答：55 AA 08 06 00 E0 00 6B 52 86 5B 00 0A 
2018-08-29 03:59:44 578	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 03:59:44 578	心跳应答：55 AA 09 06 00 E0 00 70 52 86 5B 00 10 
2018-08-29 03:59:46 332	断开连接设备成功!
2018-08-29 04:03:03 336	连接设备成功!
2018-08-29 04:03:04 533	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:03:04 533	心跳应答：55 AA 0A 06 00 E0 00 38 53 86 5B 00 5A 
2018-08-29 04:03:09 734	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:03:09 734	心跳应答：55 AA 0B 06 00 E0 00 3D 53 86 5B 00 5E 
2018-08-29 04:03:14 933	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:03:14 934	心跳应答：55 AA 0C 06 00 E0 00 42 53 86 5B 00 26 
2018-08-29 04:03:19 734	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:03:19 734	心跳应答：55 AA 0D 06 00 E0 00 47 53 86 5B 00 22 
2018-08-29 04:03:22 352	开始交易命令：55 AA 0E 01 00 C6 01 C8 
